input,dart,corp_code,stock_code,type
엠엠피아이,엠엠피아이,01557949,,동일
엠티에스컴퍼니,엠티에스컴퍼니,02018933,,동일
오버데어코리아,오버데어코리아,01807695,,동일
오비맥주,오비맥주,00254911,,동일
오션블루,오션블루,01304851,,동일
오션스바이오,오션스바이오,01860010,332190,동일
오토앤,오토앤,01084294,353590,동일
오픈테크,오픈테크,00415293,,동일
옴니케어,옴니케어,01914144,,동일
와이엘피,와이엘피,01420414,,동일
와이즈스톤티,와이즈스톤티,01729351,,동일
우리에프아이에스,우리에프아이에스,00378947,,동일
원오원,원오원,01836183,,동일
위밋모빌리티,위밋모빌리티,01909692,,동일
위즈코리아,위즈코리아,01634114,,동일
위킵,위킵,01563579,,동일
위펀,위펀,01627619,,동일
윈스,윈스,01298019,,동일
유니디아,유니디아,01371604,,동일
유니온플레이스,유니온플레이스,01839506,,동일
유라클,유라클,00407294,088340,동일
유밥,유밥,01628690,,동일
유브릿지,유브릿지,01649462,,동일
유알피,유알피,01505265,,동일
유엔터스,유엔터스,01508165,,동일
유코카캐리어스,유코카캐리어스,00436144,,동일
이너스,이너스,01963618,,동일
이노디스,이노디스,01467512,,동일
이노트리,이노트리,00520081,,동일
이도,이도,01406654,,동일
이안,이안,02018359,,동일
이지수능교육,이지수능교육,02010311,,동일
이지스,이지스,01211889,261520,동일
이지케어텍,이지케어텍,00490090,099750,동일
이트라이브,이트라이브,01756832,,동일
인라이플,인라이플,01454633,,동일
인사이드정보,인사이드정보,01472408,,동일
인사이트온,인사이트온,01567098,,동일
인스웨이브,인스웨이브,01222113,450520,동일
인우기술,인우기술,00537188,,동일
인크로스,인크로스,00819073,216050,동일
인터패스,인터패스,01825390,,동일
인투데이타시스템,인투데이타시스템,01497975,,동일
인투알,인투알,01468876,,동일
인티큐브,인티큐브,00470829,070590,동일
인포벨리코리아,인포벨리코리아,00293947,,동일
인피닉,인피닉,01458073,,동일
잉카인터넷,잉카인터넷,00418643,,동일
자이에스앤디,자이에스앤디,00367844,317400,동일
장민이엔씨,장민이엔씨,01472648,,동일
전능아이티,전능아이티,00243359,,동일
제너시스비비큐,제너시스비비큐,00320791,,동일
제이시스메디칼,제이시스메디칼,01267602,287410,동일
제이엘케이,제이엘케이,01153293,322510,동일
디모아,디모아,00125725,016670,동일
로지올,로지올,01376733,,동일
진이어스,진이어스,01475618,,동일
커넥트웰,커넥트웰,01917150,,동일
컴투스,컴투스,00476498,078340,동일
핀텔,핀텔,01524507,291810,동일
출력홀딩스,출력홀딩스,01840344,,동일
커넥트웨이브,커넥트웨이브,00585608,119860,동일
컴패니언시스템,컴패니언시스템,02001818,,동일
케어랩스,케어랩스,01187148,263700,동일
케이브레인컴퍼니,케이브레인컴퍼니,01914782,,동일
케이씨넷,케이씨넷,01447314,,동일
케이에스씨앤씨,케이에스씨앤씨,01380675,,동일
코넥,코넥,01137842,,동일
코드모바일,코드모바일,00822998,,동일
코리아퍼스텍,코리아퍼스텍,00338471,,동일
코비젼,코비젼,01309625,,동일
코콤,코콤,00187725,015710,동일
퀸스레시피글로벌,퀸스레시피글로벌,01639535,,동일
큐라움,큐라움,01832503,,동일
크리스피드,크리스피드,01379378,,동일
키다리스튜디오,키다리스튜디오,00140131,020120,동일
타라티피에스,타라티피에스,00216601,,동일
타이호인스트,타이호인스트,01753978,,동일
텔코웨어,텔코웨어,00361488,078000,동일
투라인클라우드,투라인클라우드,01909276,,동일
트립비토즈,트립비토즈,01833566,,동일
티모넷,티모넷,00864763,,동일
팀스파르타,팀스파르타,01724523,,동일
파이브스페이스,파이브스페이스,01664744,,동일
패스트뷰,패스트뷰,01785560,,동일
퍼즐에이아이,퍼즐에이아이,01618550,,동일
펜타브리드,펜타브리드,01299364,,동일
포소드,포소드,01010882,,동일
포스타입,포스타입,01828519,,동일
포인트모바일,포인트모바일,00962393,318020,동일
포티투마루,포티투마루,01585915,,동일
퓨전소프트,퓨전소프트,00448459,,동일
플래티어,플래티어,01454341,367000,동일
피씨엔,피씨엔,01500677,,동일
피앤피시큐어,피앤피시큐어,00867867,,동일
피플앤드테크놀러지,피플앤드테크놀러지,01785913,,동일
핑거,핑거,01142075,163730,동일
하이미디어아카데미,하이미디어아카데미,01761904,,동일
하이스틸,하이스틸,00435312,071090,동일
하이텔레서비스,하이텔레서비스,00803586,,동일
한국클라우드,한국클라우드,01829217,,동일
한세엠케이,한세엠케이,00357360,069640,동일
해성손해사정,해성손해사정,01473142,,동일
해커스어학원,해커스어학원,00563776,,동일
혁산정보시스템,혁산정보시스템,00596242,,동일
현대오토에버,현대오토에버,00362441,307950,동일
환인제약,환인제약,00166573,016580,동일
효성 ITX,효성 ITX,00414850,094280,동일
휴머스온,휴머스온,02028107,,동일
