company	title	job	detail_text	detail_img	detail	etc_info	company_info	url
㈜크로스포인트	[6월-6개월]대기업 AI 파이썬 백엔드 6년 이상 개발 경력자를 찾습니다.	['백엔드', '개발자']	     ㈜크로스포인트  [6월-6개월]대기업 AI 활용 파이썬 백엔드 6년 이상 개발 경력자를 찾습니다.㈜크로스포인트는 2015년에 설립된 회사로 서울 강남구 삼성동에 위치하고 있으며, 웹, 모바일웹(앱) UI/UX, 소프트웨어개발, SI, SM, RPA 개발 사업을 하고 있습니다.   모집분야 및 자격요건  모집분야 및 자격요건   모집분야  담당업무  자격요건  모집인원     대기업 서비스 AI 백엔드 개발 부문 백엔드 파트개발 업무  학력: 전졸, 대졸 이상 경력: 6년 이상, 계약직, 프리랜서 [주요 사항]- 대기업 서비스 AI 백엔드 개발 업무- 중급, 고급 TO : 3명  * GenAi 백엔드 개발 업무  * Chatgpt, Gemini, Python 경력자- 장소 : 여의도 사무실- 기간 : 2026.06 ~ 2026.12  3명      근무조건   근무형태 : 계약직, 프리랜서 근무지 : 서울시 > 영등포구 근무요일 : 주5일근무시간 : 09시 00분 ~ 18시 00분급여 : 회사내규에 따름(면접 후 결정)     전형절차    서류전형 > 1차면접 > 최종합격 ※ 면접일정은 추후 통보됩니다.     접수방법   2026.07.13(월) 까지(*조기채용시 마감)     접수방법 : 잡코리아 접수, 이메일 이력서 : 잡코리아이력서, 자유이력서      제출서류   기술경력서(또는 이력서), 자기소개서 제출      기타사항   허위사실이 발견될 경우 채용이 취소될 수 있습니다.     ㈜크로스포인트 취업 준비의 시작은 에서!  	['http://i.jobkorea.kr/content//images/ver_1/mtc/register/tx_edit_copy.png']	모집분야   백엔드 개발자   모집인원   3명   고용형태   계약직   (근무기간 6개월)   ,    프리랜서   (근무기간 6개월)   급여   회사 내규에 따름 (면접 후 결정)   근무시간   근무지주소   서울 영등포구 의사당대로 101 (여의도동, 여의도역) 여의도역   인근지하철   주5일(월~금)   09:00 ~ 18:00	경력6년↑, 대졸↑, 서울 영등포구, 계약직 외	{'basic_info': {'산업': '솔루션·SI·CRM·ERP', '사원수': '30명 | ', '기업구분': '중소기업', '설립일': '2015.05.13 | (12년차)', '대표자': '김성욱', '주요사업': '웹, 모바일웹(앱), UI/UX기획, 소프트웨어 개발, 커머스솔루션, SI 사업', '4대보험': '국민연금, 건강보험, 고용보험, 산재보험', '홈페이지': 'http://www.crossp.co.kr', '주소': '서울 강남구 테헤란로77길 55 (삼성동, 엘제이빌딩) 3층'}, 'financial': {}, 'history': [], 'employment': {'recruitments': []}, 'benefits': {'연금·보험': ['국민연금', '고용보험', '산재보험', '건강보험'], '휴무·휴가·행사': ['주5일제', '월차제도'], '사내제도·성장': ['자율복장', '주40시간', '칼퇴 권장'], '사내시설': ['휴식공간'], '편의·여가·건강': ['음료/간식 제공']}, 'location': {'address': '서울 강남구 테헤란로77길 55 (삼성동, 엘제이빌딩) 3층', 'map_url': 'https://maps.naver.com/?mapMode=0&dlevel=12&pinTitle=%e3%88%9c%ed%81%ac%eb%a1%9c%ec%8a%a4%ed%8f%ac%ec%9d%b8%ed%8a%b8&lat=37.5097588316354&lng=127.052615868285'}}	https://www.jobkorea.co.kr/Recruit/GI_Read_Comt_Ifrm?Gno=49386794
㈜베스트아이씨티	(마곡)  OO 내부 운영 업무 (초급)	['Java']	"




㈜베스트아이씨티


(여의도) 은행 장기 SM 프로젝트 (중급1 또는 고급1)












포지션 및 자격요건







운영[LG CNS 마곡 본사 내부 운영 업무]-장소 : 마곡 LG CNS 본사-기간 : 26.06.22 ~ 26.12.31 (이후 연장)-인원 : 초급 1명 (3년 이상)-기술 : JAVA, SpringBoot, MySQL -비고 : 운영 업무 경험자  -우대 : LG 경험자-단가 : 400만원/월*당사 급여 지급일은 익월 10일입니다.   감사합니다.








전형절차
ㆍ서류전형 > 1차면접 > 2차면접 > 임원면접 > 최종합격
ㆍ면접일정은 추후 통보됩니다.













유의사항
ㆍ허위사실이 발견될 경우 채용이 취소될 수 있습니다.









"	[]	모집분야   Java   모집인원   ○명   고용형태   계약직   (협의)   ,    프리랜서   (협의)   직급/직책      급여   회사 내규에 따름 (면접 후 결정)   근무시간   근무지주소   서울 강서구 마곡중앙8로 71 (마곡동, LG사이언스파크)    인근지하철   주5일(월~금)	경력3년↑, 대졸↑, 서울 강서구, 계약직 외	{'basic_info': {'산업': '시스템 소프트웨어 개발 및 공급업', '사원수': '- | ', '기업구분': '중소기업', '설립일': '2021.06.15 | (6년차)', '자본금': '2,000만원 | (2023.12.31)', '매출액': '8억 4,788만원 | (2023.12.31)', '대표자': '곽윤수', '주요사업': '소프트웨어 연구 및 개발,비주거용 건물 임대업', '4대보험': '국민연금, 건강보험, 고용보험, 산재보험', '홈페이지': '-', '주소': '서울 금천구 가산디지털2로 70 (가산동, 대륭테크노타운19차) 1313호'}, 'financial': {'매출액': {'current_value': '8억 4,788만원'}, '영업이익': {'current_value': '-2,421만원'}, '당기순이익': {'current_value': '-560만원'}, '총자산 증가율': {'current_value': '3억 4,779만원'}}, 'history': [], 'employment': {'recruitments': []}, 'benefits': {}, 'location': {'address': '서울 금천구 가산디지털2로 70 (가산동, 대륭테크노타운19차) 1313호', 'map_url': 'https://maps.naver.com/?mapMode=0&dlevel=12&pinTitle=%e3%88%9c%eb%b2%a0%ec%8a%a4%ed%8a%b8%ec%95%84%ec%9d%b4%ec%94%a8%ed%8b%b0&lat=37.4750192107624&lng=126.882066360413'}}	https://www.jobkorea.co.kr/Recruit/GI_Read_Comt_Ifrm?Gno=49386693
㈜브릭	SI 개발자 모집	['SI개발']	"




㈜브릭


SI 개발자 모집




㈜브릭은 2015년에 설립된 회사로 자본금 1억 3,000만원, 매출액 28억 7,599만원, 사원수 11명 규모의 중소기업입니다. 서울 영등포구 양산로 91 (당산동3가, 리드원센터)에 위치하고 있으며, 빅데이터기반 평판분석 솔루션, 모바일 키오스크, 금융권 SI/SM사업을 하고 있습니다.







포지션 및 자격요건







SI개발 ( ○명 ) 







담당업무
ㆍ금융 및 기업 SI / SM

스킬
ㆍJAVA, React

자격요건
ㆍ학력 : 학력무관
ㆍ경력 : 경력6년↑

우대사항
ㆍ금융SI경험



















전형절차
ㆍ서류전형 > 1차면접 > 2차면접 > 임원면접 > 최종합격
ㆍ면접일정은 추후 통보됩니다.













유의사항
ㆍ허위사실이 발견될 경우 채용이 취소될 수 있습니다.









"	[]	모집분야   SI개발   모집인원   ○명   고용형태   프리랜서      급여   월급 600~800만원 (면접 후 결정)   근무시간   근무지주소   서울 영등포구 양산로 91 (당산동3가, 리드원센터)    인근지하철   주5일(월~금)   09:00 ~ 18:00	경력6년↑, 학력무관, 서울 영등포구, 프리랜서, 600~800만원(월)	{'basic_info': {'산업': '응용 소프트웨어 개발 및 공급업', '사원수': '11명 | ', '기업구분': '중소기업', '설립일': '2015.08.03 | (12년차)', '자본금': '1억 3,000만원 | (2024.12.31)', '매출액': '29억 5백만원 | (2024.12.31)', '대표자': '이재호', '주요사업': '소프트웨어 개발 및 공급업', '4대보험': '국민연금, 건강보험, 고용보험, 산재보험', '홈페이지': 'https://www.h-brick.com', '주소': '서울 영등포구 양산로 91 (당산동3가, 리드원센터) 412호'}, 'financial': {'매출액': {'current_value': '29억 5백만원'}, '영업이익': {'current_value': '1억 103만원'}, '당기순이익': {'current_value': '3,427만원'}, '산업 내 위치': {'current_value': None}, '기업등급': {'current_value': None}, '총자산 증가율': {'current_value': '15억 4천만원'}}, 'history': [], 'employment': {'recruitments': []}, 'benefits': {'연금·보험': ['국민연금', '고용보험', '산재보험', '건강보험'], '휴무·휴가·행사': ['주5일제', '연차제도', '경조휴가'], '보상·수당·지원': ['스톡옵션', '퇴직금', '경조금', '인센티브', '정기보너스', '임직원 교육비', '야간근로수당', '휴일근로수당', '직책수당', '가족수당', '도서 구입비 지원', '성과급'], '편의·여가·건강': ['식사 지원']}, 'location': {'address': '서울 영등포구 양산로 91 (당산동3가, 리드원센터) 412호', 'map_url': 'https://maps.naver.com/?mapMode=0&dlevel=12&pinTitle=%e3%88%9c%eb%b8%8c%eb%a6%ad&lat=37.524969303537&lng=126.893143687957'}}	https://www.jobkorea.co.kr/Recruit/GI_Read_Comt_Ifrm?Gno=49386480
팀스톤	BACKEND(BE) 개발자 채용	['백엔드', '개발자']	  	['//file2.jobkorea.co.kr/Net/Mng/DownImage/CorpEditor?file_No=1759292']	모집분야   백엔드 개발자   모집인원   1명   고용형태   정규직      직급/직책   급여   회사 내규에 따름 (면접 후 결정)   근무시간   근무지주소   서울 송파구 충민로 52 (문정동, 가든파이브웍스) S동 302호   인근지하철   주5일(월~금)   09:00 ~ 18:00   시차출퇴근제도 운영	경력3년↑, 학력무관, 서울 송파구, 정규직, 주임~대리급 외	{'basic_info': {'산업': '솔루션·SI·CRM·ERP', '사원수': '32명 | ', '기업구분': '벤처기업', '설립일': '2008.12.22 | (19년차)', '자본금': '5,000만원 | ', '매출액': '43억 | ', '대표자': '이범식', '주요사업': '시스템 성능관리 솔루션 온튠 개발 및 판매', '4대보험': '국민연금, 건강보험, 고용보험, 산재보험', '홈페이지': 'http://www.ontune.co.kr', '주소': '서울 송파구 충민로 52 (문정동, 가든파이브웍스) S동 302호'}, 'financial': {}, 'history': [], 'employment': {'recruitments': []}, 'benefits': {'연금·보험': ['국민연금', '고용보험', '산재보험', '건강보험', '퇴직연금'], '휴무·휴가·행사': ['주5일제', '연차제도', '경조휴가', '반차제도', '리프레시 휴가', '출산휴가', '육아휴직', '남성출산휴가', '보건휴가', '노동절 휴무', '워크샵/MT'], '보상·수당·지원': ['경조금', '인센티브', '장기근속 포상', '임직원 교육비', '주차 지원', '야간교통비 지급', '도서 구입비 지원', '성과급', '복리후생 지원'], '사내제도·성장': ['직무능력향상교육'], '사내시설': ['휴식공간'], '편의·여가·건강': ['점심 식사 지원']}, 'location': {'address': '서울 송파구 충민로 52 (문정동, 가든파이브웍스) S동 302호', 'map_url': 'https://maps.naver.com/?mapMode=0&dlevel=12&pinTitle=%ed%8c%80%ec%8a%a4%ed%86%a4&lat=37.4777075716246&lng=127.122542860128'}}	https://www.jobkorea.co.kr/Recruit/GI_Read_Comt_Ifrm?Gno=49386431
㈜크로스포인트	[6월-6개월]커머스 서비스 자바 개발 6년 이상 개발자를 구합니다.	['백엔드', '개발']	     ㈜크로스포인트  [6월-6개월]커머스 서비스 자바 개발 6년 이상 개발자를 구합니다.㈜크로스포인트는 2015년에 설립된 회사로 서울 강남구 역삼동에 위치하고 있으며, 웹, 모바일웹(앱) UI/UX, 소프트웨어개발, SI, SM, RPA 개발 사업을 하고 있습니다.   모집분야 및 자격요건  모집분야 및 자격요건   모집분야  담당업무  자격요건  모집인원     커머스 서비스개발 업무 온라인 서비스개발 업무  학력: 전졸, 대졸이상 경력: 경력 6년 이상, 계약직, 프리랜서 [주요 업무]- 대기업 커머스 서비스 개발 업무- 백엔드 서비스 디버깅, 테스트 개발 업무- 중급 TO- Java, Spring- 장소 : 영등포구- 기간 : 2026.06 ~ 2026.12 (6개월)  1명      근무조건   근무형태 :  계약직, 프리랜서 근무지 : 서울시 > 영등포구 근무요일 : 주5일근무시간 : 09시 00분 ~ 18시 00분급여 : 회사내규에 따름(면접 후 결정)     전형절차    서류전형 > 1차면접 > 최종합격 ※ 면접일정은 추후 통보됩니다.     접수방법   2026.07.06(월) 까지(*조기채용시 마감)     접수방법 : 잡코리아 접수, 이메일 이력서 : 잡코리아 이력서, 자유이력서      제출서류   기술경력서(또는 이력서), 자기소개서 제출      기타사항   허위사실이 발견될 경우 채용이 취소될 수 있습니다.     ㈜크로스포인트 취업 준비의 시작은 에서!  	['http://i.jobkorea.kr/content//images/ver_1/mtc/register/tx_edit_copy.png']	모집분야   백엔드 개발   모집인원   1명   고용형태   계약직   (근무기간 6개월)   ,    프리랜서   (근무기간 6개월)   급여   회사 내규에 따름 (면접 후 결정)   근무시간   근무지주소   서울 영등포구 경인로 843 (영등포동3가, 영등포역지하도상가) 영등포역   인근지하철   주5일(월~금)   09:00 ~ 18:00	경력6년↑, 대졸↑, 서울 영등포구, 계약직 외	{'basic_info': {'산업': '솔루션·SI·CRM·ERP', '사원수': '30명 | ', '기업구분': '중소기업', '설립일': '2015.05.13 | (12년차)', '대표자': '김성욱', '주요사업': '웹, 모바일웹(앱), UI/UX기획, 소프트웨어 개발, 커머스솔루션, SI 사업', '4대보험': '국민연금, 건강보험, 고용보험, 산재보험', '홈페이지': 'http://www.crossp.co.kr', '주소': '서울 강남구 테헤란로77길 55 (삼성동, 엘제이빌딩) 3층'}, 'financial': {}, 'history': [], 'employment': {'recruitments': []}, 'benefits': {'연금·보험': ['국민연금', '고용보험', '산재보험', '건강보험'], '휴무·휴가·행사': ['주5일제', '월차제도'], '사내제도·성장': ['자율복장', '주40시간', '칼퇴 권장'], '사내시설': ['휴식공간'], '편의·여가·건강': ['음료/간식 제공']}, 'location': {'address': '서울 강남구 테헤란로77길 55 (삼성동, 엘제이빌딩) 3층', 'map_url': 'https://maps.naver.com/?mapMode=0&dlevel=12&pinTitle=%e3%88%9c%ed%81%ac%eb%a1%9c%ec%8a%a4%ed%8f%ac%ec%9d%b8%ed%8a%b8&lat=37.5097588316354&lng=127.052615868285'}}	https://www.jobkorea.co.kr/Recruit/GI_Read_Comt_Ifrm?Gno=49386345
㈜필그림소프트	홍대.공공기관.중고급.JAVA.Vuejs.7월1일-5개월	['홍대.중고급.JAVA.Vuejs.7월-11월']	"




㈜필그림소프트


홍대.공공기관.중고급.JAVA.Vuejs.7월-11월




㈜필그림소프트는 2019년에 설립된 회사로 자본금 1억원, 매출액 90억 3천만원, 사원수 118명 규모의 중소기업입니다. 서울특별시 금천구 가산디지털2로 166  (가산동)에 위치하고 있으며, 소프트웨어 개발 및 공급, SI/SM, 모바일 구축, ITO, 경영(인사)컨설팅사업을 하고 있습니다.







포지션 및 자격요건







포지션 ( 1명 ) 







담당업무01.고객 : 공공기관 내용 : 내부시스템 개발 인원 : 2명 (고급 1명, 중급 1명)기간 : 2026.07.01 ~ 2026.11.30 (5.0 MM)스킬 :  1) (고급)   - 반응형 웹 Front / Back-end 개발자  - Vue.JS 개발 경험  - Java 고급 이상 개발 경험 2) (중급)   - 모바일 웹 개발자  - Vue.JS 중급 이상 개발 경험  - JAVA 중급 이상 개발 경험기간 : 2026년 7월 1일 ~ 2026년 11월 30일 (5개월)기타 : 반프리(최저임금) 계약 장소 : 홍대입구 단가 : 고급(700만원) 중급(600만원)

자격요건
ㆍ학력 : 학력무관

우대사항
ㆍ상세내용을 입력하세요
ㆍ상세내용을 입력하세요



















전형절차
ㆍ서류전형 > 1차면접 > 2차면접 > 임원면접 > 최종합격
ㆍ면접일정은 추후 통보됩니다.













유의사항
ㆍ허위사실이 발견될 경우 채용이 취소될 수 있습니다.









"	[]	모집분야   홍대.중고급.JAVA.Vuejs.7월-11월   모집인원   2명   고용형태   프리랜서   (근무기간 5개월)   급여   회사 내규에 따름 (면접 후 결정)   근무시간   근무지주소   서울 마포구 동교동    인근지하철   주5일(월~금)   09:00 ~ 18:00	경력6년↑, 초대졸↑, 서울 마포구 외, 프리랜서	{'basic_info': {'산업': '솔루션·SI·CRM·ERP', '사원수': '128명 | ', '기업구분': '중소기업', '설립일': '2019.01.01 | (8년차)', '자본금': '2억원 | ', '매출액': '90억 3천만원 | ', '대표자': '신헌철', '주요사업': '소프트웨어 개발 및 공급, SI/SM, 모바일 구축, ITO, 경영(인사)컨설팅', '4대보험': '국민연금, 건강보험, 고용보험, 산재보험', '홈페이지': 'http://www.pilgrimsoft.co.kr', '주소': '서울특별시 금천구 가산디지털2로 166  (가산동) 에이스케이원타워. 4층 417호'}, 'financial': {'매출액': {'current_value': '90억 3천만원'}, '산업 내 위치': {'current_value': None}, '기업등급': {'current_value': None}, '총자산 증가율': {'current_value': '21억 9천만원'}}, 'history': [], 'employment': {'recruitments': []}, 'benefits': {'연금·보험': ['국민연금', '고용보험', '산재보험', '건강보험', '퇴직연금'], '휴무·휴가·행사': ['주5일제', '생일 이벤트'], '보상·수당·지원': ['경조금', '장기근속 포상', '우수사원 포상제도', '가족 의료비 지원', '명절선물/명절상여', '각종 기념일 선물', '도서 구입비 지원', '성과급', '복리후생 지원', '문화생활 지원', '상여금'], '사내제도·성장': ['신입 사원 교육'], '사내시설': ['쾌적한 업무공간']}, 'location': {'address': '서울특별시 금천구 가산디지털2로 166  (가산동) 에이스케이원타워. 4층 417호', 'map_url': 'https://maps.naver.com/?mapMode=0&dlevel=12&pinTitle=%e3%88%9c%ed%95%84%ea%b7%b8%eb%a6%bc%ec%86%8c%ed%94%84%ed%8a%b8&lat=37.4824453873272&lng=126.877478231737'}}	https://www.jobkorea.co.kr/Recruit/GI_Read_Comt_Ifrm?Gno=49386204
티티비㈜	전자문서 통합발송시스템 운영 인원 모집	['솔루션,시스템,응용,웹프로그래머']	"




티티비㈜


전자문서 통합발송시스템 운영




티티비(주)는 2011년 설립하여 공개 SW 적용지원, 쇼핑몰 및 LMS 적용 지원, 시스템 통합구축, 모바일 웹 개발, 
정보시스템 유지보수 등 IT 기술을 통해 고객에게 가치를 전달하는 다양한 업무를 수행하고 있습니다. 
현재 공공, 제조업관련 업무의 개발업무를 전문으로 수행하고 있습니다.







포지션 및 자격요건







포지션 ( 0명 ) 







담당업무
ㆍ전자발송 시스템 개발/운영
ㆍ솔루션관련 서비스단 웹서비스개발/운영

자격요건
ㆍ경력 : 중급이상

우대사항
ㆍ금융권 모바일서비스 개발 경력 우대



















전형절차
ㆍ서류전형 > 1차면접 > 최종합격
ㆍ면접일정은 추후 통보됩니다.













유의사항
ㆍ허위사실이 발견될 경우 채용이 취소될 수 있습니다.









"	[]	모집분야   솔루션,시스템,응용,웹프로그래머   모집인원   ○명   고용형태   정규직      ,    프리랜서   (근무기간 12개월, 정규직 전환 가능)   급여   회사 내규에 따름 (면접 후 결정)   근무시간   근무지주소   서울 중구 남대문로 23-1 (남대문로3가, 삼성빌딩)    인근지하철   주5일(월~금)   09:00 ~ 18:00	경력5년↑, 대졸↑, 서울 중구, 정규직 외	{'basic_info': {'산업': '응용 소프트웨어 개발 및 공급업', '사원수': '11명 | ', '기업구분': '중소기업', '설립일': '2011.10.11 | (16년차)', '자본금': '1억원 | (2024.12.31)', '매출액': '4억 655만원 | (2024.12.31)', '대표자': '유정석', '주요사업': '소프트웨어\u3000개발,자문\u3000공급업', '4대보험': '국민연금, 건강보험, 고용보험, 산재보험', '홈페이지': 'http://www.ttb.co.kr', '주소': '경기 수원시 영통구 대학4로 17 (이의동) 703호'}, 'financial': {'산업 내 위치': {'current_value': None}, '기업등급': {'current_value': None}}, 'history': [{'year': '2020', 'month': '03', 'events': ['본사 수원으로 이전 (구로 - 수원)']}, {'year': '2015', 'month': '11', 'events': ['본사 이전( 성수 -> 구로)']}, {'year': '2014', 'month': '09', 'events': ['벤처기업확인서 발급']}, {'year': '2014', 'month': '07', 'events': ['기업부설연구소 설립']}, {'year': '2013', 'month': '07', 'events': ['삼성전자 파트너사 등록 (1차 밴더)']}, {'year': '2013', 'month': '03', 'events': ['대표이사 변경 ( 이현호 ->유정석)']}, {'year': '2012', 'month': '05', 'events': ['상호 및 업종변경( 티티비 주식회사 / 소프트웨어 자문공급개발)']}, {'year': '2011', 'month': '03', 'events': ['친환경유통 주식회사 설립']}], 'employment': {'recruitments': []}, 'benefits': {'연금·보험': ['국민연금', '고용보험', '산재보험', '건강보험', '퇴직연금'], '휴무·휴가·행사': ['주5일제', '연차제도', '정기휴가', '경조휴가', '반차제도', '노동절 휴무'], '보상·수당·지원': ['경조금', '명절선물/명절상여', '야간교통비 지급', '도서 구입비 지원'], '사내제도·성장': ['직무능력향상교육']}, 'location': {'address': '경기 수원시 영통구 대학4로 17 (이의동) 703호', 'map_url': 'https://maps.naver.com/?mapMode=0&dlevel=12&pinTitle=%ed%8b%b0%ed%8b%b0%eb%b9%84%e3%88%9c&lat=37.3001674125602&lng=127.046712514809'}}	https://www.jobkorea.co.kr/Recruit/GI_Read_Comt_Ifrm?Gno=49386076
